Name, Preference
Machina Espresso, 0.5
Kilimanjaro Coffee, 1
Brew Lab Coffee, 1
Don't tell Mama Coffee Bar, 1
BABA RISTA, 0.1
Twelve Triangles Kitchen Table, 0.1
Black Medicine Coffee, 2
Lovecrumbs, 1
Söderberg, 0.5
Hideout Cafe, 1
Leaf & Bean Deli, 0.2
Lady and the Bear, 1
Cult Espresso, 1
Greek Artisan Pastries, 0.5

