Name, Preference
Humpit, 1
Union of Genius, 1
Red Box Noodle Bar, 1
The Original Mosque Kitchen, 1
10to10 Deli, 1
African Wrap, 1
Bonnie Burrito, 1
BaGet Stuffed, 1
Picnic Basket, 1
Mary's Milk Bar, 1
Tupiniquim, 1
Maki & Ramen, 0.1
Kebab Mahal, 0.2
Mosque Kitchen Takeaway, 0.1
